#  Check service error translations
"billink_check_error_code_501","Billink heeft uw aanvraag afgekeurd. Neem contact op met billink via <a target='_blank' href='http://www.billink.nl'>www.billink.nl</a> of kies een andere betaalmethode."
"billink_check_error_code_402","Het telefoonnummer is ongeldig"
"billink_check_error_code_406","Maak een keuze tussen particulier en bedrijf"
"billink_check_error_code_407","Maak een keuze tussen particulier en bedrijf"
"billink_check_error_code_408","Bedrijfsnaam ontbreekt"
"billink_check_error_code_410","Achternaam ontbreekt"
"billink_check_error_code_411","KvK ontbreekt"
"billink_check_error_code_412","Voornaam ontbreekt"
"billink_check_error_code_414","Huisnummer ontbreekt"
"billink_check_error_code_415","Postcode ontbreekt"
"billink_check_error_code_417","Telefoonummer ontbreekt, pas dit aan in uw account (rechts boven)"
"billink_check_error_code_418","Ongeldige geboortedatum"
#  Order service error translations
"billink_order_error_code_406","Maak een keuze tussen particulier en bedrijf"
"billink_order_error_code_407","Maak een keuze tussen particulier en bedrijf"
"billink_order_error_code_408","Bedrijfsnaam ontbreekt"
"billink_order_error_code_410","Achternaam ontbreekt"
"billink_order_error_code_441","Voornaam ontbreekt"
"billink_order_error_code_411","Maak een keuze tussen man of vrouw"
"billink_order_error_code_412","Maak een keuze tussen man of vrouw"
"billink_order_error_code_413","Straat ontbreekt"
"billink_order_error_code_414","Huisnummer ontbreekt"
"billink_order_error_code_415","Postcode ontbreekt"
"billink_order_error_code_415","Stad ontbreekt"
"billink_order_error_code_417","Telefoonummer ontbreekt, pas dit aan in uw account (rechts boven)"
"billink_order_error_code_418","Email ontbreekt"
"billink_order_error_code_420","Landcode is ongeldig"
"billink_order_error_code_425","Rekeningnummer ontbreekt"
"billink_order_error_code_426","Naam van rekeninghouder ontbreekt"
"billink_order_error_code_427","KvK ontbreekt"
"billink_order_error_code_429","KvK is ongeldig"
"billink_order_error_code_443","Rekeningnummer is ongeldig"
"billink_order_error_code_totals_do_not_match", "De aanvraag is mislukt. Neem contact op met de webshop eigenaar of kies een andere betaalmethode."
